Company/Candidate Name,Skill,Total Sub-skills,Total Counts
SMG Swiss Marketplace Group,Business,1,1
SPD Scientific,Business,1,1
Saigon Centre Shopping Mall,Analytics,1,1
Saint-Gobain Vietnam,Soft_Skills,1,1
Second Talent,WebD,1,2
Serdao | Digital Services & 24/7 IT Support,"Coding, WebD",2,4
ShopeePay,"Business, Analytics",2,2
Siemens Gamesa,Business,1,1
Sony Music Entertainment,"Analytics, Soft_Skills, Business",3,5
Starbucks Vietnam,"Soft_Skills, Business",2,3
Sunbytes,WebD,1,1
TAM SON INTERNATIONAL JSC,"Analytics, DevOps",2,2
Techtronic Industries Vietnam,"Business, Soft_Skills",2,3
Terroir & Spice,Business,1,2
Terumo Asia Pacific,"Soft_Skills, Analytics",2,2
The Access Group - Asia Pacific,"Soft_Skills, ML/AI, WebD",3,5
The Coca-Cola Company,WebD,1,1
Trip.com Group,Business,1,1
Turner & Townsend,"Business, WebD",2,2
Uni-Fuels,WebD,1,1
Vero,"WebD, Soft_Skills, Soft_Skills, Business",4,6
Walmart,Analytics,1,1
Warner Music Group,Soft_Skills,1,1
"Wayzim Technology Co., Ltd.","WebD, Business",2,3
XTB online investing,"WebD, Business",2,2
Yves Rocher Vietnam,DevOps,1,1
Zalo,WebD,1,1
Zoetis,"Business, Business",2,2
cargo-partner,"WebD, Business, Analytics",3,4
interpool HR,WebD,1,1
