,Company/Candidate Name,Role,Sub-skill,Count
51,AnyMind Group,Motion Graphic Designer,"creative, organizational, digital, advertising",6
52,AnyMind Group,SEO Specialist (6 months - 1 year contract),"seo, marketing, content marketing, optimization, performance metrics, google analytics, communication, communication skills, algorithms, digital, advertising",21
53,AnyMind Group,Sales Admin Intern (Influencer Marketing Business),"advertising, marketing, english, vietnamese, communication, communication skills, documentation, ms word, excel, powerpoint, digital",12
54,AnyMind Group,Senior Account Executive (Influencer Integrated),"client, creative, vietnamese, digital, digital marketing, marketing, influencer marketing, documentation, ms word, excel, powerpoint, organizational, communication, communication skills, advertising",20
55,AnyMind Group,"Senior Business Development Executive, Publisher Growth","digital, advertising, google analytics, organized",11
56,AnyMind Group,Senior Commercial Manager,"strategies, marketing, leadership, communication, problem solving, analytical skills, digital, advertising",9
57,AnyMind Group,Social Account Senior Manager (AnyMind's Partner),"digital, creative, creative thinking, client, communication, strategies, project management, campaign management, performance metrics, team management, leadership, marketing, digital marketing, english, interpersonal skills",32
58,Anywr,Field Trainer - Luxury Retail (M/F/X),"creative, presentation, communication, communication skills, english",5
59,Anywr,Solutions Architect M/F,"digital, vietnamese, team building, strategies, aws, java, leadership, communication, english",12
60,ApplyBoard,International Recruitment Specialist- K12 Vietnam,"organized, leadership, strategies, client",4
61,Arches,Expert Matching Associate (Korean speaker),"market research, business development, english, ownership, critical thinking, problem solving, business analysis, excel, swift, leadership, flexible",12
62,Arches,Expert Matching Associate - Night-shift,"business insights, business development, english, ownership, critical thinking, problem solving, business analysis, swift, leadership, flexible",10
63,Artemis Digital,PPC (Performance Marketing) Specialist,"marketing, digital, digital marketing, creative, client, critical thinking, data driven, business development, google analytics, excel, data analysis, analytical skills, english, strategies, communication, communication skills",26
64,Artemis Digital,Search Engine Optimization Specialist,"digital, digital marketing, marketing, seo, strategies, optimization, communication, communication skills, english, google analytics",21
65,Aspire,Engineering Manager,"c, digital, communication, communication skills, organizational, flexible",6
66,Astek,Java Technical Lead,"java, digital, software development, team work, aws, english, http, json, communication, team management, vietnamese",13
67,Astek,QA/QC MANUAL TESTER,"digital, devops, software development, jenkins, azure, vietnamese",7
68,Astek,SENIOR ANDROID / ANDROID LEADER,"digital, java, problem solving, english, vietnamese",6
69,Astek,Technical Support Engineer,"digital, customer focused, customer focused, communication, documentation, incident response, api, problem solving, software development, writing skills, english, vietnamese",15
70,Astek Vietnam,Quality Assurance Automation Engineer,"digital, javascript, process oriented, english, vietnamese",5
71,Astellas Pharma,Business Unit Head Oncology,"ownership, marketing, new product launch, strategies, initiative, optimization, flexible, leadership, performance management, strategic thinking, communication, interpersonal skills, people management, english, presentation",22
72,AstraZeneca,Area Manager - ONCO - HCM,"r, leadership, communication, communication skills, initiative",5
73,Autograph Collection,Commis,presentation,1
74,Autograph Collection,Senior Sales Manager,"marketing, creative",5
75,Avery Dennison,Senior Human Resources Business Partner,"performance management, leadership, ownership, strategies, client, communication, communication skills, interpersonal skills, analytical skills, problem solving",14
76,Axon,Product Manager II,"ownership, digital, marketing, data driven, performance metrics, creative, leadership, problem solving, communication",10
77,Axon,"Senior Technical Product Manager, Platform (Hybrid)","ownership, digital, initiative, leadership, devops, agile methodologies, communication, presentation, interpersonal skills, problem solving, flexible",11
78,B. Braun Group,Product Executive (Marketing for Healthcare),"marketing, flexible, strategies, strategic planning, market research, english, analytical skills, communication, communication skills, vietnamese, negotiation skills, organizational, critical thinking, problem solving, adaptability",23
79,B2X Care Solutions,Accountant,"communication, communication skills",2
80,BAT,"IT Business Analyst, Operations Technology","digital, supply chain, strategies, problem solving, english, vietnamese, communication, presentation",10
81,BDA Partners,M&A Analyst Intern,"project management, presentation, marketing, documentation, analytical skills, powerpoint, excel, communication, english",10
82,BSH Home Appliances Group,Business Controller,"marketing, btl, supply chain, business strategy, analytical skills, problem solving, excel, english, vietnamese",16
83,BStar Solutions - Galaxy Holdings,Data Engineer,"statistics, python, java, sql, nosql, big data, hadoop, spark, etl, aws, data modeling, creative, communication",13
84,BStar Solutions - Galaxy Holdings,Dotnet Developer,"c, html, javascript, asp, sql, server, team work",7
85,Baker McKenzie,Junior or Mid-Level Associate in Employment & Labor Practice Group,"business development, vietnamese",3
86,BayWa r.e. APAC,"Senior Business Development Manager, Vietnam","r, business development, c, client, marketing, english, vietnamese, leadership, flexible",22
87,Beings,Quality Assurance Engineer,"market research, go, regression, ui, api, sql, nosql, databases, communication, communication skills, time management, javascript, python, node, js",17
88,Beko Vietnam,Senior Specialist - Key Account Management – MT channel,"business strategy, english",2
89,Beyondsoft,IT Event Support Manager,"digital, team building, protocols, marketing, strategic thinking, communication, english",9
90,Bizzi Vietnam,Finance Transformation Consultant (B2B Business Development),"writing skills, c, english",3
91,Bizzi Vietnam,Senior B2B Business Development (SaaS),"business development, c, vietnamese, english, team building",7
92,Blackmores Group,Head of Sales Operations,"leadership, marketing, english, vietnamese",5
93,Bosch ASEAN,"[BD/BA-AP] Senior Technical Manager, OutSystem Workflow Platform Development","software development, digital, project management, optimization, team building, agile methodologies, leadership, problem solving, communication, communication skills, adaptability, organizational, pmp certification, english, initiative",24
94,Bosch ASEAN,[BD] Senior Test Manager,"digital, leadership, software development, penetration testing, regression, communication, english, initiative",11
95,Boston Consulting Group (BCG),DRS Intern,"organized, databases, communication, english",4
96,Brooks Running,"HR Lead, Asia","project management, strategies, documentation, communication, communication skills, english",11
97,Buymed,Chief Accountant,"leadership, ms office",2
98,Buymed,Director of Operations,"strategies, supply chain, predictive analytics, leadership, strategic planning, inventory management",16
99,Buymed,Purchasing Manager,"strategies, supply chain, communication, leadership, project management",8
100,BẢO VIỆT NHÂN THỌ GIA ĐỊNH,BẢO VIỆT NHÂN THỌ GIA ĐỊNH TUYỂN DỤNG,"team leader, flexible, vietnamese, team management, organized, communication, communication skills",7
101,C.H. Robinson,Senior Sales Executive,"business development, supply chain, strategies, business strategy, excel, powerpoint, english, communication, presentation",11
102,CBTW APAC,".NET Engineer (Microservices, Event-Driven) - InfoTrack UK","c, api, asp, sql, server, aws, english, communication, communication skills, software development",11
103,CBTW APAC,Fullstack .NET Tech Lead for InfoTrack UK,"digital, leadership, c, api, asp, sql, server, aws, english, communication, communication skills, software development, flexible",16
104,CBTW APAC,Product Owner – InfoTrack Global,"leadership, presentation, english, customer relationship management, sql, nosql, databases, aws, flexible, team building",10
105,CBTW APAC,QA Engineer (Automation & Manual) – InfoTrack,"vietnamese, leadership, api, aws, azure, c, sql, nosql, databases, server, mongo, kubernetes",15
106,CBTW APAC,Senior MS Dynamics Engineer - MessageMedia,"ui, aws, english, communication, marketing, software development",7
107,CEVA Logistics,Accounting Intern,communication,1
108,CGP Vietnam,CEO - F&B Chains,"client, vietnamese, market research, strategies, performance metrics, english, leadership, project management, communication, negotiation skills",12
109,CGP Vietnam,Head of FP&A,"client, strategies, communication, presentation, english",5
110,CGP Vietnam,Merchandising Director (Garment Sourcing),"strategies, leadership, optimization, communication, industry knowledge, analytical skills, digital, creative, team management, excel, data driven",23
111,CGP Vietnam,Public Relations Manager,"client, strategies, increase brand awareness, communication, communication skills, marketing, social media platforms, digital",13
112,CGP Vietnam,Sales Manager (Automation/Machinery),"client, business development, strategies, communication, interpersonal skills",8
113,CHANEL,Senior Business Finance Manager,"supply chain, leadership, creative, performance management, inventory management, financial analysis, presentation, communication, stakeholder management, excel, strategic thinking, creative thinking",14
114,CLO Virtual Fashion Inc.,"3D Design & Implementation Specialist, CLO","marketing, digital, client, vietnamese, communication",7
115,CNAV Business Value,Senior Technical Security Consultant,"strategies, presentation, vietnamese, internetworking, firewalls, ips, communication, english",11
116,CONNECTe INTERNATIONAL PTE LTD,"Sales Engineer, Vietnam","client, sales management, communication, communication skills",4
117,CONSTANTIN Group,Outsourcing Accountant - Entry Level,"vietnamese, excel, problem solving, communication",6
118,COSCO SHIPPING SPECIALIZED CARRIERS (SOUTHEAST ASIA) PTE. LTD.,BUSINESS MARKETING REPRESENTATIVE,"marketing, client, c, leadership, communication, interpersonal skills, ms office, english",11
119,CPA Australia,Business Development Manager,"business development, strategies, business intelligence, go, project management, marketing, leadership",9
120,Canadian Wood Vietnam,Business Development Manager,"business development, vietnamese, marketing, communication, english, communication skills, presentation, client, excel, powerpoint, organizational, problem solving, interpersonal skills, leadership, time management, go, http",32
121,Canopus Advisors,Corporate Finance Analyst,"r, business development, organized, multitask, communication, communication skills",6
122,Cao Đẳng Việt Mỹ,Head of Faculty (Nursing & Pharmacy),"vietnamese, leadership, communication, presentation, data analysis, problem solving",6
123,Capillary Technologies,Product Configuration Specialist,"client, brand management, documentation, communication, communication skills, multitask, vietnamese, writing skills",9
124,Capillary Technologies,Solutions Architect,"flexible, leadership, client, business strategy, strategies, communication, organizational, software development",11
125,Carlsberg Group,Associate Finance Manager - Integrated Supply Chain,"supply chain, performance management, ownership, financial analysis, erp system, go, problem solving",9
126,Carlsberg Group,E-Commerce Business Owner - Asia,"digital, data driven, stakeholder management, analytical skills, software development, english, communication, communication skills",12
127,Carlsberg Group,Government Affairs Manager,"strategies, strategic planning, communication, leadership, marketing, interpersonal skills, strategic thinking, problem solving",11
128,Carousell Group,QA Manual,"vietnamese, c, strategies, analytical skills, api, regression, communication, problem solving, java",10
129,Cartrack,Chief Sales Officer,"ownership, problem solving, leadership, interpersonal skills, strategic thinking, team building, marketing, strategies, direct sales, analytical skills, communication, negotiation skills, excel, powerpoint",20
130,Chapter Recruitment,Head of Commercial Excellence,"client, strategies, marketing, optimization, analytical skills, leadership, team management, communication, interpersonal skills, vietnamese, english",12
