,Company/Candidate Name,Role,Sub-skill,Count
233,Evonik,Finance and Accounting Manager,"flexible, r, documentation, problem solving, communication, communication skills, interpersonal skills, initiative, english",12
234,Evoto AI,Sales Manager,"communication, negotiation skills",2
235,Excis Compliance,Information Technology Support Engineer,"communication, ms office, encryption, problem solving, flexible",6
236,Exclusive Networks,Product Manager,"digital, marketing, c, communication, interpersonal skills, initiative, server, people focused",14
237,FE CREDIT,"Database Administrator Expert (SQL Server, PostgreSQL)","etl, databases, optimization, sql, documentation, aws, python, data warehousing, data modeling, azure, problem solving, communication, interpersonal skills",31
238,FE CREDIT,Financial Analyst Expert/Senior Specialist,"business plan, optimization, business analysis, sql",5
239,FE CREDIT,Information Risk Management Expert,"communication, ms office, excel, powerpoint, english, conflict resolution",7
240,FE CREDIT,Partnership Center Director (B2B2C),"direct sales, market research, business development, marketing, leadership, strategic thinking, communication, project management, english",13
241,FE CREDIT,Sales System & Process Enhancement Management Specialist,"business analysis, vietnamese, english, powerpoint, presentation, communication",6
242,FE CREDIT,Senior Foreign Financial Institutions Relationship Specialist,"communication, vietnamese",2
243,FE CREDIT,Senior IT Business Analyst Specialist,"go, business analysis, databases, sdlc, critical thinking, communication, communication skills, vietnamese, english, ownership",11
244,FE CREDIT,Senior Quality Control Specialist,"business analysis, sql, api, flexible, jenkins, aws",6
245,Faraday,HR Business Partner,"strategies, performance management, vietnamese, data analysis, communication, problem solving, excel, powerpoint, english",11
246,Ferring Pharmaceuticals,HR & Admin Assistant,"inventory management, communication, communication skills, english, organizational, time management, ms office",8
247,Fersol (ex-Brunel Russia),Deputy COO,"client, marketing, supply chain, business development, english",7
248,Festo,General Accountant (Temporary 9 months),"excel, communication, problem solving",3
249,"FinT Vietnam, Inc.",Content Creator Intern,"influencer marketing, marketing, market research, english, creative",7
250,Fluke Corporation,Product Marketing Manager (Vietnam),"marketing, go, creative, communication, presentation, time management, organizational, product design, data driven",17
251,Fonterra,Marketing Director (Vietnam and Cambodia),"marketing, market research, leadership, digital, brand management, people management, initiative, digital marketing, analytical skills, communication, communication skills, vietnamese, english",31
252,Formative Search,Project Manager (Onshore Wind) - Vietnam,"strategies, project management, vietnamese, english",6
253,Forvis Mazars in Vietnam,Senior Accountant,"ui, client, communication, ms excel, excel, english",6
254,Forvis Mazars in Vietnam,Tax Intern,"english, writing skills, vietnamese",4
255,Forvis Mazars in Vietnam,Tax Manager,"team leader, business development, english, vietnamese, time management",7
256,Four Hands Vietnam,BI Supervisor,"dashboards, initiative, data modeling, creative, problem solving, communication, communication skills, english, adaptability, sql, supply chain",12
257,Four Hands Vietnam,Senior Azure Engineer,"azure, devops, problem solving, documentation, agile methodologies, english, communication",11
258,Francia Beauty Group,Media Lead,"strategies, marketing, digital, digital marketing, communication, performance metrics, advertising, organized, optimization",15
259,Fulbright University Vietnam,Director Undergraduate of Admissions And Financial Aid,"vietnamese, creative, leadership, marketing, digital, strategies, business development, problem solving, communication, communication skills, strategic planning, english, flexible",21
260,Funding Societies | Modalku Group,Vietnam COO/ Operating Director (Fintech/ Banking/ SME lending),"digital, organizational, marketing, performance management, strategies, c, english, vietnamese, leadership, communication, presentation, problem solving, flexible",14
261,GENUINE PARTNER GROUP,Deputy Director of Operations,"marketing, strategies, english, communication, communication skills",8
262,GENUINE PARTNER GROUP,Deputy Director of Transport Engineering,"communication, communication skills, creative",3
263,GENUINE PARTNER GROUP,Legal Specialist,"english, communication, vietnamese, problem solving, communication skills, negotiation skills, conflict resolution",8
264,GENUINE PARTNER GROUP,Recruitment Executive,"strategies, communication, interpersonal skills",3
265,GENUINE PARTNER GROUP,Web Developer,"html, css, javascript, python, php, ruby, java, angular, c, wordpress",14
266,GETS - Global Energy Technical services Company limited,Mechanical Engineer,"english, communication, communication skills",3
267,GFT Technologies,APAC Digital Marketing Specialist,"digital, digital marketing, marketing, content marketing, strategies, lead generation, social media platforms, communication, marketing automation, performance metrics, seo, creative, communication skills, english, email marketing, website optimization, optimization, google analytics, interpersonal skills",42
268,GFT Technologies,Business Analyst,"digital, organizational, conflict resolution, english, communication, presentation, leadership",10
269,GFT Technologies,Country Human Resources Manager - Vietnam,"strategies, business strategy, hr manager, leadership, organizational, communication, team management, english",14
270,GFT Technologies,Engineering Manager,"strategies, organizational, java, sql, api, team building",10
271,GFT Technologies,Scrum Master,"problem solving, analytical skills, organizational, conflict resolution, negotiation skills, flexible, documentation, communication, dashboards, leadership, organized, time management, multitask, communication skills, english",20
272,GFT Technologies,Solution Architect,"problem solving, java, leadership, english",6
273,GMEELAN,Offline channel manager813,"strategies, market research, vietnamese, english",5
274,GMEELAN,Vietnam KOL Business Development Specialist0630,"vietnamese, english, communication",3
275,GMEELAN,Vietnam Recruitment Specialist807,"optimization, english, communication",3
276,"GMO Research & AI, Inc.",Web Designer,"digital, marketing, creative, ui, product design, communication, html, css, encryption, leadership, english",20
277,GREENFEED GROUP,Head of ERP,"leadership, optimization, dashboards, project management, itil, team management, communication, interpersonal skills",12
278,GREENFEED GROUP,Head of Technology and Operations,"strategies, incident response, data assets, leadership, strategic planning, digital, project management, stakeholder management, communication, interpersonal skills",14
279,Gaia Information Technology,Sales Business Development Manager,"business development, digital, aws, azure, leadership, api, communication, communication skills, interpersonal skills, client, english",18
280,Galaxy FinX,Chief Risk Officer (Vietnamese only),"digital, data driven, strategies, analytical skills, statistical analysis, leadership, team management, communication, communication skills",18
281,Galaxy FinX,Solutions Architect,"business development, api, java, nosql, communication, digital, ui, databases, kubernetes, azure",12
282,"Galaxy Studio., JSC",Chief Accountant,"vietnamese, leadership, communication, english, negotiation skills",7
283,"Galaxy Studio., JSC",Senior Human Resources Manager,"strategies, organizational, english, vietnamese, performance management, communication",6
284,"Galaxy Studio., JSC",Senior Marketing Executive,"marketing, strategies, vietnamese, advertising, creative, market research, communication, english, communication skills, presentation, project management, analytical skills, data analysis, google analytics",41
285,"Galaxy Studio., JSC",Senior Media Sales Executive,"presentation, marketing, english, ms word, ms excel, excel, powerpoint",7
286,"Galaxy Studio., JSC",Senior Sales & Marketing Manager,"marketing, strategies, digital, digital marketing, organizational, creative, creative thinking, data analysis, communication, communication skills, presentation, vietnamese, english, leadership, problem solving",29
287,Gamuda Land (Vietnam),Deputy Legal Manager,"documentation, vietnamese, communication, critical thinking",4
288,Gamuda Land (Vietnam),Senior Market Intelligence Executive,"marketing, market research, business development, time management, presentation",5
289,Gene Solutions,IT Manager (SEA),"r, vietnamese, leadership, presentation, communication, problem solving, english",8
290,Gene Solutions,Procurement specialist,flexible,1
291,Generali Vietnam Life Insurance,Legal Senior Manager/ Associate Director,"c, marketing, team management, flexible",4
292,Geniebook,Performance Marketing Specialist,"english, digital, digital marketing, marketing, seo, lead generation, optimization, strategies, advertising, communication, campaign management, communication skills",32
293,Genpact,Human Resources Operations Specialist - Relocation to KL,"go, digital, client, communication, dashboards, vietnamese, english",9
294,GiaoHangNhanh (GHN),Area Manager,"optimization, strategies, strategic thinking, analytical skills, data analysis, leadership, communication, communication skills",9
295,GiaoHangNhanh (GHN),Product Specialist,"strategies, software development, problem solving, ownership, communication, agile methodologies",6
296,GiaoHangNhanh (GHN),Senior Frontend Developer,"ui, flexible, api, ux, analytical skills, software development, react, js, javascript, css, problem solving, aws, web apps",18
297,GiaoHangNhanh (GHN),Senior Software Engineer,"api, java, server, nosql, communication, communication skills, react, big data, aws",11
298,GiaoHangNhanh (GHN),Senior/Lead Data Analyst,"data driven, dashboards, data visualization, organizational, communication, communication skills, sql, nosql, mongodb, python, excel, tableau, big data, spark",14
299,Givaudan,Account Executive (8 months contract),"business development, marketing, english",3
300,Global Sources,Assistant Account Manager,"market research, team management, strategies, communication, marketing, project management, business development, presentation, english, vietnamese",13
301,Global Sources,Marketing Executive,"marketing, email marketing, digital, digital marketing, content marketing, communication, interpersonal skills, english, organized",18
302,Globevisa Group,Senior Marketing Specialist,"marketing, client, creative, digital, digital marketing, campaign management, strategic planning, strategies, market research, content marketing, lead generation, communication, communication skills, project management, multitask, problem solving",45
303,GoNetZero™,"Commercial Lead, Renewable Energy Certificate Business (Vietnam)","data driven, adaptability, marketing, lead generation, communication, communication skills, english",7
304,Gojek,Partnership Senior Manager,"business development, growth strategy, optimization, people management, leadership, strategies, client, market research, marketing, data analysis, strategic planning, critical thinking, problem solving, communication, negotiation skills, stakeholder management, presentation",26
305,Golden Communication Group,Senior Copywriter,"vietnamese, flexible, excel, advertising, creative, client, presentation, influencer marketing, marketing, communication, time management, project management",18
306,Golden Communication Group,Senior Human Resources,"marketing, team building",2
307,Golden Communication Group,Senior Public Relations Specialist,"vietnamese, flexible, strategies, project management, client",8
308,Goldwind,Senior Business Development Manager,"marketing, communication, coordination skills, english",4
309,Google,"Account Manager, Agency, Large Customer Sales","advertising, consultative sales, business development, marketing, english, vietnamese, digital, digital marketing, creative, communication, communication skills, client, strategies",25
310,Google,"Associate Product Marketing Manager, Ads","vietnamese, marketing, problem solving, initiative, leadership, go, strategies, organizational",23
311,Google,"Phó quản lý tiếp thị sản phẩm, Google Ads","english, problem solving, communication, leadership, vietnamese, marketing, strategies, advertising",28
312,Grab,"Client Partner, GrabAds","advertising, client, strategies, marketing, business development, negotiation skills, communication",9
313,Grab,Principal Product Manager - Experimentation Platform,"organizational, user research, marketing, go, software development, problem solving, data driven, data engineering",8
314,Grab,"Senior Software Engineer, Fullstack","databases, ui, react, angular, aws, problem solving, analytical skills, english, communication, demand planning, team building, algorithms, communication, java, c",18
315,Grab,"Senior Software Engineer, Mobile (iOS)","r, go, c, algorithms, data structures, api, ui, communication, ownership",9
316,Grab,"Software Engineer, Mobile (iOS)","r, go, c, algorithms, data structures, api, ui, communication, ownership",9
317,GroupM,"Mindshare | Manager, Content+","client, digital, business development, marketing, advertising, communication, problem solving, vietnamese, english, ms office",15
318,GroupM,"Senior Director, Client Leadership","client, leadership, project management, multitask, digital, influencer marketing, marketing, client management, english, presentation, advertising",29
319,Groupe SEB,Head of Trade Marketing,"marketing, team work, leadership, communication, analytical skills",13
320,Gucci,HR Intern,"communication, communication skills, vietnamese, adaptability",4
321,HCLTech Vietnam,Analog Design Engineer (Very Atractice Salary),"digital, matlab, node, english, communication, protocols, flexible",8
322,HCLTech Vietnam,Cloud Security Engineer (ANZ Bank Project),"azure, aws, digital, client, api, software development, english, go, java, flexible",14
323,HCLTech Vietnam,DFT Engineer (Hanoi & HCMC),"english, flexible, digital, r, iot",8
324,HCLTech Vietnam,Physical Design Engineer (Global Projects),"digital, optimization, ownership, perl, flexible, english",7
325,HCLTech Vietnam,[HCL x ANZ] Security Consultant/Expert,"azure, aws, digital, client, firewalls, encryption, risk analysis, strategies, software development, english, communication, problem solving, kubernetes, go, java, flexible",20
326,HEINEKEN Vietnam,Data Analytics Product Manager,"organizational, communication, ux, leadership, stakeholder management, problem solving, strategies, ms office, english, data analysis, azure",13
327,HEINEKEN Vietnam,Distributor Business Development Manager,"strategic thinking, sql, english, communication",4
328,HEINEKEN Vietnam,Distributor Salesman (DSM) Management Manager,"team building, dashboards, btl, problem solving, leadership, project management, digital, excel",8
329,HEINEKEN Vietnam,Regional Market Execution Manager,"communication, performance management",2
330,HEINEKEN Vietnam,Sustainability Executive – Partnerships,"communication, initiative, data driven, performance management, project management, ownership",9
331,HRS Group,Data Analyst - Google Ecosystem (all genders),"strategies, marketing, data driven, digital, data analysis, data reporting, sql, english, ownership",10
332,HRS Group,HR Business Partner Vietnam (all genders),"digital, data driven, leadership, performance management, c, english, ownership",11
333,HRS Group,Junior/Middle Product Manager PAY (all genders),"digital, data driven, optimization, go, client, business strategy, initiative, communication, c, adaptability, user research, problem solving, english, ownership",17
334,HRS Group,Product Manager Procurement Solutions (All genders),"digital, initiative, marketing, communication, data driven, problem solving, ux, ui, english, flexible",10
335,HRS Group,Senior Fullstack Developer (Nextjs) - BTC (all genders),"javascript, digital, ux, ui, software development, html, css, node, js, python, ruby, problem solving, communication, communication skills, english, ownership",18
336,HSBC,Head of Tax,"marketing, business analysis, interpersonal skills, stakeholder management, problem solving, english, vietnamese, http, flexible",10
337,Hahalolo Travel Social Network Viet Nam,Category Manager,"market research, statistics, strategies, inventory management, optimization, communication, marketing, vietnamese, english",12
338,Hahalolo Travel Social Network Viet Nam,Senior Business Operation Manager - Flight,"marketing, english",2
339,Hahalolo Travel Social Network Viet Nam,Senior Business Operation Manager - Transportation,"marketing, digital, english",3
340,Hahalolo Travel Social Network Viet Nam,Senior Business Operation Manager - Travel Tour,"marketing, english",2
341,Hakuhodo in Vietnam,Associate Copywriter,"creative, advertising, digital, client, project management, coordination skills, english, communication, vietnamese",13
342,Hakuhodo in Vietnam,HR Manager,"hr manager, strategies, communication, critical thinking, problem solving, interpersonal skills, vietnamese",8
343,Hakuhodo in Vietnam,Senior Digital Media Manager,"strategic planning, strategies, client, project management, communication, creative, digital, google analytics, team management, problem solving, marketing, critical thinking, time management, analytical skills, vietnamese",26
344,Hakuhodo in Vietnam,Senior Social Media Specialist,"project management, strategic planning, client, creative, strategies, advertising, social media platforms, communication, communication skills, english, vietnamese, powerpoint, excel, presentation, critical thinking",22
345,Hakuhodo in Vietnam,Strategic Planning Director,"strategic planning, creative, marketing, market research, client, strategic thinking, digital, analytical skills, presentation, leadership, vietnamese",19
346,Hakuhodo in Vietnam,Strategic Planning Manager,"strategic planning, creative, client, marketing, market research, strategic thinking, digital, analytical skills, presentation, vietnamese",15
347,Hallmark Cards Asia,Sourcing Specialist,"negotiation skills, problem solving, english, excel, powerpoint, flexible, organized",7
348,Hansen Technologies,Senior Software Development Manager,"software development, leadership, organizational, people management, interpersonal skills, project management, excel, strategies",15
349,Hanwhalife Việt Nam,Sales Training Planning Senior Manager,"digital, marketing, presentation",4
350,Hasaki.vn,Brand Manager,"market research, strategies, communication, marketing, advertising, team management",8
351,Hasaki.vn,International Trading Specialist,"marketing, documentation, english, communication, ownership, negotiation skills",8
352,Hasaki.vn,Production Specialist (Beauty),"marketing, english, communication, negotiation skills",5
353,Hasaki.vn,Senior Software Engineer (Golang),"ownership, go, problem solving",4
354,Havas,Legal Counsel,"creative, leadership, advertising, digital, ux, marketing, communication, problem solver, documentation, vietnamese, software development, english",14
355,Havas,"Senior Power BI Developer (Data Analyst, Database, PL/SQL)","digital, java, php, wordpress, devops, business intelligence, dashboards, sql, strategies, statistics, data analysis, data visualization, communication, english, vietnamese, problem solving, ownership",24
356,Hello Health Group,EVP Ecosystem Growth (B2B2C),"digital, digital marketing, marketing, client, lead generation, market research, c, strategies, go, seo, leadership, data driven, optimization, performance management",32
357,Henkel,"Market and Customer Activation Manager, APAC","marketing, digital, creative",9
358,Highlands Coffee®,Talent Acquisition Executive,"organizational, time management, communication, interpersonal skills, powerpoint, english, vietnamese, problem solving",12
359,Hikvision,Warranty Manager,"access control, customer training, english, team building",5
360,Hitachi Digital Services,Security Specialist,"digital, client, team leader, communication, english, data driven, flexible, ownership",9
361,Hitachi Digital Services,Senior Camunda Developer (onsite District 3),"digital, software development, client, server, communication, problem solving, documentation, data driven, flexible, ownership",11
362,Hitachi Digital Services,"Senior Java Developer (Onsite District 7, HCM)","digital, java, docker, javascript, html, problem solving, english, data driven, flexible, ownership",12
363,Hitachi Digital Services,Senior MR/VR Developer,"digital, c, python, aws, azure, java, swift, communication, english, data structures, json, problem solving, communication skills, data driven, flexible, ownership",21
364,Hitachi Digital Services,Senior OZ eForm Developer (onsite District 3),"digital, software development, client, server, communication, problem solving, documentation, javascript, data driven, flexible, ownership",12
365,Hitachi Digital Services,Senor Software Engineer onsite Thailand (ASAP),"digital, java, communication, communication skills, data driven, flexible, ownership",10
366,Hitachi Digital Services,iOS/macOS Developer,"digital, swift, c, communication, english, data structures, json, flutter, react, problem solving, communication skills, data driven, flexible, ownership",17
367,Ho Chi Minh City Securities Corporation (HSC),Treasury & Fixed Income Investment Manager,"english, communication, interpersonal skills, presentation, negotiation skills",5
368,Home Credit Vietnam,Business Development Assistant Manager,"strategies, performance metrics, marketing, communication, presentation, excel, powerpoint",14
369,Home Credit Vietnam,Technical Lead/Engineering Manager,"business analysis, english, software development",4
370,House of Shipping,Sales Executive,"client, marketing, negotiation skills, communication, communication skills, problem solving, vietnamese",12
371,"Howden, A Chart Industries Company",AFM Sale Manager,"business development, customer relationship management, strategies, leadership, marketing, communication, communication skills, ms excel, excel, interpersonal skills",15
372,Hyphen Deux Co. Ltd.,RTL DESIGN ENGINEER,"vietnamese, digital, flexible",4
373,IFC - International Finance Corporation,"Short-Term Analyst, Ha Noi / Ho Chi Minh City","digital, strategies, strategic planning, client, business development, market research, organized, problem solving, creative, powerpoint, presentation, communication, communication skills, english",21
374,IFC - International Finance Corporation,Short-Term Consultant: Project Manager - Climate Finance,"digital, strategies, organized, project management, client, initiative, business development, problem solving, creative, communication, communication skills, english, vietnamese",16
375,Imexpharm Corporation,Copywriter,"marketing, r, communication, creative, english, communication skills, adaptability",13
376,Informa Markets,Event Executive,"industry knowledge, marketing, english, vietnamese, project management, presentation, ms office, powerpoint, excel",11
377,Informa Markets,Senior Event Manager,"ownership, marketing, strategies, business strategy, communication",10
378,Innity,Senior Influencer Partnership Specialist,"advertising, digital, marketing, influencer marketing, go, client, content marketing, communication",18
379,International Dairy Product JSC - IDP,Brand Manager,"marketing, strategies, creative, advertising, problem solving, project management, excel, powerpoint",16
380,International Dairy Product JSC - IDP,Nationwide Operational Excellence Manager,"business plan, project management, problem solving, supply chain",6
381,International Dairy Product JSC - IDP,Project Manager Civil,"project management, people management, interpersonal skills, problem solving",4
382,International School Ho Chi Minh City,"Director of Marketing, Communications and Community Engagement","marketing, growth strategy, strategies, data driven, communication, content operations, leadership, digital, market research, content marketing, team management, communication skills, digital marketing, social media platforms",49
383,Intrepid Asia,Accounts Payable Accountant,"digital, digital marketing, marketing, client, data driven, documentation, excel, sql, organized, communication, english, leadership",16
384,Intrepid Asia,Human Resources Business Partner,"digital, digital marketing, marketing, client, node, strategies, performance management, initiative, organizational, ms office, leadership",17
385,Ivoclar,Business Development Manager,"marketing, digital, market research, sales management, business development, communication, interpersonal skills, organizational, flexible",11
386,JDA WMS,Trainee/ Associate Recruitment Consultant (Non experience/ Fresh graduate welcome),"client, client management, communication, communication skills, organizational, interpersonal skills, negotiation skills, time management",17
387,JLL,Facilities Admin cum Receptionist,"strategies, client, go, interpersonal skills, communication, organized, english, communication skills",10
388,JLL,Senior Facilities Engineering,"go, client, client management, performance metrics, protocols",5
389,JTI (Japan Tobacco International),HR Business Partner Assistant Manager,"performance management, communication, strategies, presentation, stakeholder management, ms office",7
390,Jabil,Financial Analyst II,financial analysis,1
391,Jabil,Tax Accountant II,"strategies, vietnamese, english, communication, communication skills",6
392,Jaspal Group,Operation Supervisor,"presentation, marketing, initiative, english",4
393,Jaxtina English Center,Center Manager (Quản lý Trung tâm),"english, marketing, optimization, strategic planning",6
394,Jenfi Vietnam,Bank Documents Specialist,"financial analysis, english, communication, vietnamese",5
395,Jobs via eFinancialCareers,Senior Manager Solution Architect,"business development, project management, people management, performance management, software development, java, iot, strategies, digital",10
396,Jobs via eFinancialCareers,Senior Salesforce Developer,"customer focused, customer focused, excel, analytical skills, adaptability, documentation, problem solving, communication",8
397,"Jollibee Vietnam Co., Ltd",Senior Marketing Manager (Omni Channel experience),"marketing, strategic planning, brand management, digital, digital marketing, strategies, market research, communication, communication strategy, people management, english, seo, content marketing, google analytics, project management, problem solving, initiative",44
398,KASIKORNBANK,Asset Quality Management | Asset Management (AMC),problem solving,1
399,KASIKORNBANK,Credit Operation – Home Loan (Collateral) (Officer/Senior Officer),"documentation, problem solving, communication, interpersonal skills, ms excel, excel, ms word, english",8
400,KASIKORNBANK,Senior Corporate Relationship Manager,"marketing, problem solving, client, communication, communication skills, english, leadership, business analysis",9
401,KFC Vietnam,Junior Art Director,"marketing, strategies, creative, team management, project management, communication, supply chain, advertising, communication skills, english",20
402,KHUMSUB,Export Sales,"problem solving, english, vietnamese",3
403,KONE,Modernization Sales Supervisor,customer relationship management,1
404,KSTAR New Energy,Business Development Manager,"leadership, english",2
405,KTI Talent Indicator,.NET Developer - Dynamics 365 Specialist,"software development, sql, server, c, problem solving, communication",8
406,KTI Talent Indicator,Accounts Payable Manager (PTP),"ocr, excel, communication, communication skills, vietnamese",5
407,KTI Talent Indicator,Business Development Manager - Vietnam,"business development, client, strategies, marketing, communication, problem solving, communication skills, flexible",12
408,KTI Talent Indicator,Educational Sales Manager,"client, growth strategy, strategies, lead generation, marketing, presentation, communication, communication skills, english, time management, project management",13
409,KTI Talent Indicator,Educational Sales Representative,"client, growth strategy, strategies, marketing, presentation, communication, communication skills, time management, project management",11
410,KTI Talent Indicator,Electrical Project Engineer,"problem solving, organizational, project management, flexible",5
411,KTI Talent Indicator,Frontend Developer,"business intelligence, data driven, problem solving, communication, english, flexible",7
412,KTI Talent Indicator,Fullstack Developer,"devops, documentation, docker, kubernetes, aws, azure, nosql, databases, mongodb, java, javascript, data structures, algorithms, problem solving, english, communication, interpersonal skills, vietnamese",22
413,KTI Talent Indicator,Head of Marketing Innovation,"marketing, strategies, seo, leadership, content marketing, data driven, advertising, digital, digital marketing, english, vietnamese",29
414,KTI Talent Indicator,Head of Mobile Security Research and Operations,"leadership, r, agile methodologies, creative, problem solving, communication, communication skills, vietnamese",9
415,KTI Talent Indicator,Java Technical Team Leader,"java, sql, jenkins, docker, communication, communication skills, english, analytical skills, flexible, team building",12
416,KTI Talent Indicator,Key Account Manager,"client, project management, business development, communication, negotiation skills, english",11
417,KTI Talent Indicator,Lead Full Stack Engineer,"client, go, web apps, devops, java, documentation, javascript, api, nosql, english, communication, interpersonal skills, vietnamese",15
418,KTI Talent Indicator,Lead Software Test Engineer,"client, strategies, regression, documentation, leadership, problem solving, communication, english, vietnamese",9
419,KTI Talent Indicator,Market Intelligence Specialist,"market research, organizational, leadership, english, flexible",6
420,KTI Talent Indicator,Operation Manager,"client, organized, problem solving",3
421,KTI Talent Indicator,Recruitment Specialist - Vietnam,"api, process automation, digital, initiative, flexible",6
422,KTI Talent Indicator,SRE Lead Engineer,"client, devops, azure, jenkins, kubernetes, optimization, ansible, python, communication, documentation, software development, docker, aws, english, problem solving, vietnamese",25
423,KTI Talent Indicator,Senior Artist,"advertising, creative, communication, leadership, vietnamese",5
424,KTI Talent Indicator,Senior Backend Developer (NodeJS/Java),"java, node, js, api, optimization, docker, mongodb",7
425,KTI Talent Indicator,Senior Full Stack Architect,"devops, documentation, aws, azure, docker, kubernetes, javascript, java, html, css, data structures, algorithms, nosql, mongo, databases, problem solving, english, communication, interpersonal skills, vietnamese",24
426,KTI Talent Indicator,Senior Full Stack Engineer (FE),"devops, documentation, html, css, javascript, data structures, algorithms, ux, go, nosql, mongo, databases, docker, kubernetes, aws, azure, problem solving, english, communication, interpersonal skills, java, vietnamese",23
427,KTI Talent Indicator,Senior Java Developer,"client, strategies, java, angular, server, html, javascript, css, sql, databases, english, communication, communication skills, aws, azure, vietnamese",22
428,KTI Talent Indicator,Senior Platform Security Engineer,"api, aws, azure, java, c, software development, analytical skills, communication, communication skills",11
429,KTI Talent Indicator,Senior Product Owner,"digital, english, market research",5
430,KTI Talent Indicator,Senior QA/QC Engineer,"documentation, ui, ux, english, problem solving, communication, project management, flexible, team building",11
431,KTI Talent Indicator,Senior React Native Developer,"react, vpn, ui, ux, encryption, communication, protocols, javascript, http, english, communication skills",29
432,KTI Talent Indicator,Senior UI/UX Designer,"ui, ux, digital, user research, documentation, organized, html, css, english, flexible",15
433,KTI Talent Indicator,Social Media Content Specialist,"social media platforms, strategies, performance metrics, marketing, digital, digital marketing, english, communication, flexible, vietnamese",11
434,KTI Talent Indicator,Technical Artist,"c, problem solving, vietnamese",3
435,Katalon,Business System Analyst,"devops, marketing, optimization, problem solving, communication, flexible",6
436,Katalon,"Senior Data Analyst, Growth Team","devops, data analysis, dashboards, statistics, sql, python, r, data visualization, tableau, problem solving, communication, communication skills, marketing, flexible",19
437,Katalon,Talent Acquisition Manager,"devops, strategies, data driven, social media platforms, databases, english, communication, communication skills, organized, flexible, team building",12
438,Katalon,"[Mid-Senior] Software Engineers, TrueTest","devops, java, python, javascript, software development, sdlc, communication, communication skills, english, azure, aws, kubernetes, flexible",14
439,Keppel (Real Estate Division – Vietnam),"(Senior) Manager, Finance Treasury","documentation, ms office, excel, problem solving, communication, communication skills",6
440,Keppel (Real Estate Division – Vietnam),"Intern, Customer Experience","r, communication, communication skills, marketing",6
441,Keppel (Real Estate Division – Vietnam),"Senior Manager, Compliance","leadership, communication, english, vietnamese",5
442,Knight Frank,Leasing Executive,"marketing, excel, english, vietnamese, communication",6
443,Kuehne+Nagel,Human Resources Business Partner Manager ( 1 year contract),"strategies, people management, performance management, organizational, communication, english",9
444,Kuehne+Nagel,Sea Logistics Business Development Manager,"business development, communication, conflict resolution, problem solving, time management, english",7
445,L'Oréal,HR Operations Assistant Manager,"c, adaptability, organized, vietnamese, english, excel, powerpoint",7
446,L'Oréal,Senior Assistant Product Manager - SkinCeuticals,"communication, ownership, creative, critical thinking, strategic planning, marketing, project management, leadership, initiative",12
447,LEMAN,Trade Lane Manager America,"ownership, business development, english, vietnamese, communication, presentation, flexible, supply chain",9
448,LEMAN,Trade Lane Manager China,"ownership, business development, english, vietnamese, communication, presentation, flexible, supply chain",9
449,LHH Vietnam,Business Development Manager,"business development, leadership, vietnamese, communication, communication skills, english, ms office",7
450,LOTTE INNOVATE VIETNAM,IT Business Analyst (Senior level),"api, go, software development, documentation, communication, presentation, english, team building",8
451,LOTTE Mart Vietnam,Leasing Assistant Manager,"advertising, marketing, communication, vietnamese, english, leadership",10
452,LPBank,Data Architect,"vietnamese, sql, server, english, communication, communication skills, html",17
453,LPBank,Database Administrator,"vietnamese, databases, sql, server, english, data reporting, html",16
454,LTD Material LLC,Production Planner,organizational,1
455,Lalamove,"Assistant Manager, Public Affairs (Government Relations)","go, strategies, english, communication",4
456,Lalamove,Finance Manager,"go, leadership, excel, communication, communication skills, english",6
457,Le Méridien Hotels & Resorts,Executive Assistant/ Personal Assistant to GM | Le Méridien Saigon,"c, presentation, databases, creative",5
458,Le Méridien Hotels & Resorts,Venue Manager | Le Méridien Saigon,"c, communication, communication skills, leadership, creative",7
459,Lectra,"HR Manager, Viet Nam","digital, c, business development, performance management, communication, organizational, organized, vietnamese, english",9
460,Leo Burnett,Constellation | Account Manager,"go, client, client management, creative, communication, project management, strategies, leadership, people management, problem solving, advertising, marketing, digital, english, organized, ownership, excel, powerpoint",32
461,Leo Burnett,Leo Burnett | Account Executive,"go, client, client management, creative, communication, strategies, leadership, people management, problem solving, marketing, digital, english, organized, excel, powerpoint",31
462,Liberty Insurance Vietnam,Broker Account Manager,"client, business development, organizational, english",8
463,Liberty Insurance Vietnam,"Senior Executive - Vendor & Project Management, Process Improvement & Data Analytics","leadership, databases, strategies, statistics, communication, communication skills, english, analytical skills, interpersonal skills, sql",11
464,Lihuhu Games,Level Design,"vietnamese, data analysis, data visualization, creative, creative thinking, communication, english",7
465,Lita Global,Head of Marketing,"marketing, strategies, communication, data driven, project management, time management, people management, business analysis, english, vietnamese",23
466,Lita Global,KOL Manager,"negotiation skills, influencer marketing, marketing, vietnamese, english, social media platforms, communication, interpersonal skills, creative, creative thinking, organizational, project management",14
467,LivWell,User Engagement Executive,"data driven, digital, strategies, communication, optimization, digital marketing, marketing, interpersonal skills, creative, ownership",15
468,Luxoft Vietnam,ServiceNow developer,"javascript, java, communication, communication skills, english, json",7
469,L’OCCITANE Group,HR & Admin Manager,"performance management, communication, strategies, critical thinking, initiative, ms office, excel, tableau, presentation, vietnamese, english",12
